id x0 y0 xx yy xy
     155 2.71501843 -1.94760392 3.86106394 11.11440859 2.11631634
     177 1.43077991 -4.13116128 3.01226505 6.43343722 0.41216172
     562 8.75179337 2.11773769 2.49098991 13.47887766 -0.40296702
     375 1.94266307 10.78206794 4.54641300 6.12695079 -1.44572932
     584 7.55346090 -0.27308299 4.00346508 11.32590083 3.48731289
      89 2.87598271 -9.45901795 5.59883765 12.96143080 3.82385217
     430 2.80486719 0.29835845 3.75458013 8.56090385 -0.74419550
     111 2.61665713 -7.17422765 4.40065994 7.11992635 1.77870555
     199 -0.65307876 -3.85647433 5.71679501 7.81897667 -2.69504660
     188 0.04335663 -4.10848626 4.39776509 7.13488421 -1.45321023
     309 -0.28174103 -3.18553273 4.03694115 14.77844985 4.52460467
     419 3.49760212 2.23507003 1.77396795 15.75117439 0.15097968
     408 3.37062936 5.07499169 1.72891711 20.85095655 1.08399789
     353 0.85314056 7.68091111 1.76823201 21.96536947 -0.67945472
     254 -3.10925810 5.82854440 4.10899341 12.38136123 1.25041244
     232 -3.71157939 1.12999957 3.51600125 17.69800585 -0.88315424
     287 -1.78191413 -1.47301412 1.86129300 23.02256703 -0.59055962
     210 -0.82111017 -2.48437886 4.01605218 8.75930120 -2.28022275
     441 2.17609575 1.35973693 4.09250843 12.15153609 -4.02866577
     276 -1.91351466 2.69299296 2.16068459 32.54580059 -0.72354197
     507 6.33293583 14.95294277 2.85450648 21.37189988 -1.51256383
     452 1.84036551 3.97142779 3.84146239 18.02603134 -4.81116744
     474 2.91452984 9.86581128 8.42956789 16.52523086 8.87161007
     397 3.22579181 7.49162297 2.61897759 16.37262922 -1.17233178
     529 7.55055112 8.41316042 3.46300369 36.79602569 -6.31705108
     342 0.75178946 4.93692028 1.75579469 16.92393392 -0.04280418
     540 8.42786739 5.51285263 3.79016768 18.97743513 -3.49617429
     265 -2.59725386 4.39006525 3.66299155 18.31797940 -2.02075246
     485 3.69144205 13.95742139 7.96939448 19.46182788 8.97240925
     551 8.68091748 2.74450853 2.02075068 15.36281980 -0.27146482
     364 0.86288501 9.40487014 1.98902268 13.52054452 0.03025434
     518 7.00478012 12.75011801 3.30393080 41.71094918 -5.71522233
      35 1.56580939 -27.08875366 3.50438428 8.92399816 1.79721988
     640 4.85584196 -4.87178949 4.24220869 12.33489841 3.94343124
     134 2.39113044 -3.53090856 3.89413289 23.03679695 5.78749920
      13 0.45761800 -23.36507834 2.75846427 24.05213044 -1.97314745
     101 3.34905810 -7.60753258 7.94350932 9.11580946 -2.25253728
     684 2.15798399 -3.23301216 4.10320438 14.07318248 3.34359356
      79 4.00488311 -12.61330890 6.23519147 21.52061969 4.43832089
     123 2.15224709 -4.78449732 3.74203489 15.75556023 3.98060256
     651 4.03159952 -4.45773963 3.78368631 8.17434104 2.00481582
       2 -0.09624220 -19.58146010 3.50928381 36.93143330 -6.60193042
     607 5.76746790 -4.17465628 6.92065148 13.66950406 6.95159394
     299 -1.00367119 -3.74227785 4.33906742 8.23069223 2.24731980
     332 0.85162212 3.38030925 1.82236874 17.93461349 0.70065539
      24 0.94011945 -26.46634187 1.80830049 14.86209274 -0.08382818
      46 2.20840804 -25.55129758 3.82699275 24.47194980 4.63179884
     574 8.18167620 1.12031482 2.88155218 9.78387028 0.28485217
     321 0.50432251 -0.05073388 2.86477522 26.30400716 3.06801972
     244 -3.07506864 4.07859292 3.79399958 15.53637904 -1.40040871
     222 -2.95884806 -0.92941282 3.98968574 13.69936205 -3.43263954
     431 2.66049421 0.29565730 4.11911738 9.06763377 -1.43974942
      57 2.09155379 -21.95569602 4.00314355 39.47590200 -4.01046499
     673 3.25468666 -2.12019093 6.33364417 5.15923458 -1.24748545
     629 4.71948990 -5.36118939 4.01493109 17.95478619 5.41003548
     255 -3.05574647 5.91380469 4.21636199 12.96657907 0.93436132
      68 3.28951871 -16.85311962 4.53539225 35.98696424 2.02534727
     464 1.56912110 7.12223951 3.68167520 27.92967814 0.45476749
     442 2.13036615 1.56881466 4.01909400 13.25869273 -4.33486110
     387 2.44744338 9.08586327 3.72951737 8.89191920 -1.64218885
     376 1.95900489 10.76411416 4.28741798 6.55856848 -1.24824238
     200 -1.03917997 -3.91119091 6.87652055 7.40599963 -3.19363760
     596 6.71554901 -2.20073226 5.90669570 13.78976434 6.43790442
     145 3.13078770 -2.45887147 2.84320108 13.91919675 2.04722228
     618 4.72990531 -4.77276091 3.57216501 15.11290958 4.20644165
     695 1.75704196 -5.23968244 3.36484916 22.68626698 3.69150292
     453 1.69310936 4.22094019 3.51937282 17.08415656 -3.88363995
     409 3.47643666 4.47719758 1.67027268 21.38713739 0.00300894
     167 1.97331429 -2.68439821 4.45923653 11.40319878 3.10549147
     662 4.51655306 -3.16396599 4.31846795 7.10656308 -1.79493446
     112 2.55497999 -6.76047934 4.33888151 9.36676215 2.21029692
      90 2.85234536 -9.25867417 5.32971829 13.28581092 3.21867003
     497 5.12192008 15.61289688 3.54993660 15.01778581 3.38565978
     530 7.58045937 8.18499487 3.45869633 36.19687804 -6.22463318
     233 -3.82333798 1.26016144 3.07401502 17.58090238 -0.47222418
     475 2.94099406 10.09796718 7.94352116 16.88544629 8.52627168
     211 -0.87716934 -2.33552751 4.86769751 9.11628785 -2.79943695
     266 -2.53948043 4.24245970 3.66740311 19.03020697 -2.13895651
     310 -0.25006383 -3.01703944 4.04934436 15.21341499 4.54243669
     563 8.65155513 2.03538260 2.52302530 12.34283379 -1.00746041
     585 7.51987940 -0.37846809 4.08010312 11.69323545 3.53767451
     156 2.66643297 -1.94060534 3.88907299 10.83459532 2.05138415
     189 -0.01305882 -4.11407841 4.54377010 7.27407508 -1.57737517
     178 1.41485267 -3.92569750 2.94326728 6.94894497 0.17806462
